Name,Borough/County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
The Clocktower,Manhattan,,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star
Contra,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Convivio,Manhattan,,,,,1 Michelin star,1 Michelin star,,,,,,,,,
Corton,Manhattan,,,,,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,,,,,,,
Cote,Manhattan,,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star
Le Coucou,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Country,Manhattan,,1 Michelin star,1 Michelin star,,,,,,,,,,,,
Craft,Manhattan,1 Michelin star,1 Michelin star,,,,,,,,,,,,,
Crown Shy,Manhattan,,,,,,,,,,,,,,,1 Michelin star
Cru,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,,,,
Daniel,Manhattan,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Danji,Manhattan,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,
Danny Brown Wine Bar & Kitchen,Queens,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,
Danube,Manhattan,2 Michelin stars,1 Michelin star,1 Michelin star,,,,,,,,,,,,
Del Posto,Manhattan,,2 Michelin stars,2 Michelin stars,2 Michelin stars,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Delaware & Hudson,Brooklyn,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,
Devi,Manhattan,,1 Michelin star,1 Michelin star,,,,,,,,,,,,
Dovetail,Manhattan,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,
Dressler,Brooklyn,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,
Eighty-One,Manhattan,,,,1 Michelin star,1 Michelin star,,,,,,,,,,
Eleven Madison Park,Manhattan,,,,,1 Michelin star,1 Michelin star,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars
Estela,Manhattan,,,,,,,,,,,,,,,1 Michelin star
Etats-Unis,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,,,
Faro,Brooklyn,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,
Fiamma Osteria,Manhattan,1 Michelin star,1 Michelin star,,1 Michelin star,,,,,,,,,,,
The Finch,Brooklyn,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Fleur de Sel,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,,,,,,,,,,,
The Four Horsemen,Brooklyn,,,,,,,,,,,,,,,1 Michelin star
Gabriel Kreuther,Manhattan,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,2 Michelin stars,2 Michelin stars
Gilt,Manhattan,,,1 Michelin star,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,,,,,,,
Gordon Ramsay at The London,Manhattan,,,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars,,,,,,,
Gotham Bar and Grill,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
