business_name,rating,review_count,price_range,category
Wally’s Cafe,4.5,1790,$$,"['Mediterranean', 'Lebanese']"
Hang Ten Boiler,4.0,1158,$$,"['Cajun/Creole', 'Hawaiian', 'Seafood']"
Speisekammer,4.0,1383,$$,['German']
Hancook,4.5,623,$$,"['Korean', 'Barbeque', 'Hot Pot']"
Telegraph,4.0,394,$$,"['Sandwiches', 'Burgers', 'Beer Gardens']"
Papaito Rotisserie - San Leandro,4.5,320,$$,['Latin American']
Oakland Street Food Co,4.5,77,,"['Street Vendors', 'Tacos', 'American (Traditional)']"
Porque No? Tacos,5.0,152,$$,"['Mexican', 'Breakfast & Brunch']"
Grandma’s Hands,4.0,6,,['Soul Food']
Holy Land Restaurant,4.0,502,$$,['Middle Eastern']
Mistura Rotisserie,4.0,258,$$,['Peruvian']
The Rockin’ Crawfish,4.0,1318,$$,"['Cajun/Creole', 'Seafood']"
The Governor,5.0,3,,"['British', 'Comfort Food']"
Hometown Heroes East Bay,4.5,144,$$,"['American (Traditional)', 'Chicken Wings', 'Sports Bars']"
Dimond Slice Pizza,4.5,453,$,"['Pizza', 'Vegetarian']"
Himalayan Curry House,4.0,129,$$,"['Himalayan/Nepalese', 'Indian']"
Okkon,4.5,18,$$,"['Japanese', 'Pop-Up Restaurants']"
Almond & Oak,4.0,88,$$$,"['American (New)', 'Cocktail Bars']"
DeVaughn’s Cajun Kitchen,4.0,94,,"['Southern', 'Cajun/Creole', 'Soul Food']"
Mujiri,5.0,37,,['Japanese']
Zachary’s Chicago Pizza,4.5,3644,$$,"['Pizza', 'Comfort Food']"
Southie,4.5,792,$$,"['Sandwiches', 'American (New)']"
Mill’s Hoagie & Deli Shop,4.0,306,$,"['Sandwiches', 'Delis', 'Cheesesteaks']"
Orbit Coffee & Doughnuts,4.5,302,$,"['Coffee & Tea', 'Donuts', 'Sandwiches']"
Iyasare,4.0,607,$$$,"['Japanese', 'Bars']"
Vegan Mob,4.0,545,$$,"['Barbeque', 'Soul Food', 'Vegan']"
Grand Lake Kitchen - Dimond,4.0,141,$$,"['Breakfast & Brunch', 'Cocktail Bars', 'Sandwiches']"
Monkey King At the Brewery,4.0,407,$$,"['Cajun/Creole', 'Noodles', 'Chicken Wings']"
The Halal Guys,3.0,202,$$,"['Halal', 'Mediterranean', 'Middle Eastern']"
Belotti Ristorante E Bottega,4.5,622,$$,"['Italian', 'Cocktail Bars', 'Wine Bars']"
Camchilao Food Truck,4.5,17,,"['Food Trucks', 'Cambodian', 'Laotian']"
Xiang Yuen Xiao Long Bao,4.0,399,$$,['Shanghainese']
Star Meats,4.5,246,$$,"['Meat Shops', 'Sandwiches', 'Butcher']"
Taqueria Los Comales,4.0,307,$,"['Mexican', 'Breakfast & Brunch']"
FOB Kitchen,4.0,299,$$,"['Filipino', 'Cocktail Bars']"
Dan Sung Sa,4.0,810,$$,['Korean']
Phosho Dough,4.5,61,,['Vietnamese']
Phnom Penh House,4.5,961,$$,"['Cambodian', 'Seafood']"
