business_name,rating,review_count,price_range,category
The Gundis,4.5,414,$$,"['Mediterranean', 'Middle Eastern']"
Roost Chicken & Biscuits,4.0,760,$$,"['Southern', 'Desserts', 'American (Traditional)']"
Luna Empanada Shop,5.0,210,$$,"['Sandwiches', 'Colombian', 'Empanadas']"
Athena Greek Restaurant,3.5,762,$$,"['Greek', 'Mediterranean']"
Sea & Olive,4.0,48,,"['Mediterranean', 'Greek', 'Cocktail Bars']"
Phodega,4.5,86,$$,"['Vietnamese', 'Hainan', 'Noodles']"
La Taberna Tapas,3.5,267,$$,"['Spanish', 'Tapas Bars']"
Naf Naf Grill,4.0,524,$,"['Middle Eastern', 'Falafel', 'Salad']"
Kai Sushi,4.0,636,$$,"['Sushi Bars', 'Japanese']"
Kuma’s Corner - Belmont,4.0,5052,$$,"['Burgers', 'American (Traditional)', 'Cocktail Bars']"
RPM Italian,4.0,3131,$$$,['Italian']
Papa’s Cache Sabroso,4.0,527,$$,"['Latin American', 'Puerto Rican', 'Chicken Shop']"
Crave Kabob,4.5,256,$$,"['Mediterranean', 'Middle Eastern']"
Kimchi Pop,4.5,145,$$,['Korean']
Kabobchi,4.5,72,,['Mediterranean']
Pl-zen,4.0,380,$$,['Gastropubs']
Gus’s World Famous Fried Chicken,4.0,684,$$,"['Chicken Shop', 'Southern', 'Comfort Food']"
Rica Arepa,4.5,126,$,['Venezuelan']
Sushi Taku,4.5,730,$$,"['Japanese', 'Sushi Bars']"
Honey Butter Fried Chicken,4.0,1975,$$,"['Chicken Shop', 'Fast Food', 'Breakfast & Brunch']"
Bavette’s Bar & Boeuf,4.5,2394,$$$,"['Steakhouses', 'Seafood', 'Bars']"
Lowcountry Lakeview,4.5,624,$$,"['Cajun/Creole', 'Seafood', 'Desserts']"
Evette’s,4.5,19,,"['Mediterranean', 'Tacos']"
Uproar,5.0,10,,['American (New)']
Kasama,4.5,42,,"['Filipino', 'Bakeries', 'American (New)']"
Bienmesabe,4.5,146,$$,['Venezuelan']
Ali Baba Doner,5.0,133,$$,"['Turkish', 'German']"
Tanta,4.0,1188,$$$,"['Peruvian', 'Bars']"
Boqueria - Fulton Market,4.5,112,$$$,"['Spanish', 'Tapas Bars', 'Wine Bars']"
Humboldt Haus Sandwich Bar,4.5,201,$,"['Sandwiches', 'Sports Bars']"
Butcher & The Burger,4.0,1039,$$,"['Burgers', 'Breakfast & Brunch']"
World Nutrition Smoothie and Juice Bar,5.0,1,,"['Juice Bars & Smoothies', 'Waffles', 'Creperies']"
Seoul Taco,4.0,712,$,"['Korean', 'Mexican', 'Asian Fusion']"
Gemini,4.0,503,$$,"['American (New)', 'Bars']"
Kabobi Grill,4.5,714,$$,"['Mediterranean', 'Persian/Iranian']"
Namaste Chicago,4.5,44,$$,"['Indian', 'Himalayan/Nepalese']"
AO Hawaiian Hideout,4.0,443,$$,"['Asian Fusion', 'Hawaiian', 'Music Venues']"
Brazilian Bowl,4.0,487,$,['Brazilian']
Bixi Beer,4.0,288,$$,"['Asian Fusion', 'Brewpubs']"
Kubo Chicago,4.5,151,$$,"['Filipino', 'American (New)', 'Cocktail Bars']"
Chengdu Aroma,4.5,66,$$,"['Szechuan', 'Hot Pot']"
jeong,4.5,100,,"['Korean', 'American (New)']"
BIG & little’s Restaurant,4.0,402,$,"['Seafood', 'Burgers', 'Fish & Chips']"
Crosby’s Kitchen,4.0,808,$$,"['American (Traditional)', 'Bars', 'Venues & Event Spaces']"
Noon O Kabab,4.0,1065,$$,"['Persian/Iranian', 'Mediterranean']"
Lucy’s,4.5,120,$$,['American (Traditional)']
Tortello,4.5,190,$$,"['Pasta Shops', 'Italian']"
Pleasant House Pub,4.5,791,$$,"['British', 'Pubs', 'Breakfast & Brunch']"
Opart Thai House,4.0,326,$$,['Thai']
La Nonna,4.5,313,$$,"['Argentine', 'Italian']"
Cleo’s Southern Cuisine,4.5,55,,"['Southern', 'Personal Chefs', 'Caterers']"
Smoke Daddy,4.0,1270,$$,"['Barbeque', 'Music Venues']"
Nando’s PERi-PERi,4.0,253,$$,"['Chicken Shop', 'Portuguese', 'South African']"
Avli - River North,4.0,99,,"['Greek', 'Tapas/Small Plates']"
Caspian Kabab Fine Persian Cuisine,4.5,126,$,"['Persian/Iranian', 'Seafood', 'Middle Eastern']"
JIAO by Qing Xiang Yuan Dumplings,4.0,111,$$,['Chinese']
Chiya Chai Cafe,4.0,430,$$,"['Coffee & Tea', 'Food Stands']"
SoJu BBQ,4.5,120,$$,"['Korean', 'Asian Fusion', 'Chicken Wings']"
Joy Yee Noodle,3.5,1629,$$,"['Noodles', 'Pan Asian']"
Gibsons Bar & Steakhouse,4.0,1999,$$$,"['Steakhouses', 'Wine Bars']"
Feed,4.0,616,$,"['Southern', 'Breakfast & Brunch', 'Diners']"
Chicago Taco Authority,4.5,286,$,['Tacos']
Mogadishu Restaurant,4.5,119,$,['African']
Gyu-Kaku Japanese BBQ,4.0,1639,$$,"['Japanese', 'Barbeque', 'Asian Fusion']"
Bárbaro Taquería,4.5,65,$$,"['Mexican', 'Cocktail Bars']"
JT’s Genuine Sandwich Shop,4.5,81,$$,['Sandwiches']
La Sandwichera,5.0,3,,['Sandwiches']
Beacon Doughnuts,5.0,55,,"['Donuts', 'Vegan']"
Daisies,4.5,269,$$,"['Pasta Shops', 'American (New)', 'Cocktail Bars']"
Bao Bing,4.0,35,$$,['Taiwanese']
Duck Duck Goat,4.0,1396,$$$,['Chinese']
Cuba 312,4.5,313,$$,"['Caribbean', 'Cuban']"
Pub Royale,4.0,416,$$,"['Pubs', 'British', 'Indian']"
MingHin Cuisine,4.0,863,$$,"['Dim Sum', 'Cantonese', 'Asian Fusion']"
All Together Now,4.5,68,$$,"['Specialty Food', 'American (New)', 'Beer', 'Wine & Spirits']"
Fajita Factory,4.0,59,,['Latin American']
Antique Taco,4.0,1258,$$,"['Mexican', 'Venues & Event Spaces']"
Nando’s Peri-Peri,4.0,583,$$,"['South African', 'Portuguese', 'Chicken Shop']"
Bar Siena,4.0,1516,$$,"['Italian', 'American (Traditional)', 'Bars']"
Beyond Rice,5.0,8,,"['Korean', 'Pop-Up Restaurants']"
Same Same,4.5,103,$$,"['Thai', 'Cocktail Bars']"
Fish Bar,4.0,949,$$,['Seafood']
El Habanero,4.5,463,$$,['Mexican']
The Fat Shallot - Lincoln Park,4.5,89,$$,"['Food Trucks', 'Sandwiches', 'Caterers']"
Antico,4.5,223,$$$,['Italian']
Cedar Palace,5.0,246,$$,"['Lebanese', 'Falafel']"
Dog Haus Biergarten,4.5,202,$,"['Burgers', 'Hot Dogs', 'Beer Bar']"
Little Madrid Tapas Cafe,4.5,35,,"['Spanish', 'Cafes']"
The Little Pickle,5.0,67,$,['Sandwiches']
Owen & Engine,4.0,1113,$$,"['Gastropubs', 'British']"
Ms. T’s Southern Fried Chicken,4.5,289,$,"['Southern', 'Chicken Shop']"
Monteverde,4.5,846,$$$,"['Italian', 'Desserts', 'Wine Bars']"
Chilango Mexican Street Food,4.5,532,$,['Mexican']
Il Porcellino,4.5,890,$$,"['Italian', 'Bars', 'Salad']"
Pokiology,4.5,217,$$,"['Poke', 'Asian Fusion']"
Prime & Provisions,4.5,1165,$$$$,"['American (Traditional)', 'Seafood', 'Steakhouses']"
Handlebar,4.0,1481,$$,"['Vegetarian', 'Bars', 'Vegan']"
1492 Cuban Fusion,4.5,179,$$,['Cuban']
En Hakkore,4.5,713,$$,"['Korean', 'Tacos']"
Bluebird,4.0,280,$$,"['Sandwiches', 'Burgers', 'Salad']"
Hello Jasmine,4.5,226,$$,"['Taiwanese', 'Bubble Tea', 'Juice Bars & Smoothies']"
Sticky Rice,4.0,861,$$,['Thai']
Bolivar & Lincoln Venezuelan Cafe,5.0,55,,"['Cafes', 'Venezuelan']"
Scofflaw,4.5,756,$$,"['American (New)', 'Cocktail Bars']"
The Publican,4.0,3203,$$$,"['American (New)', 'Breakfast & Brunch', 'Diners']"
