business_name,rating,review_count,price_range,category
Isabelle’s Osteria,5.0,4,,"['Italian', 'Mediterranean']"
Mable’s Smokehouse & Banquet Hall,4.0,862,$$,"['Barbeque', 'Bars', 'American (Traditional)']"
Bunna Cafe,4.5,634,$$,"['Ethiopian', 'Vegan', 'African']"
Suzume,4.0,305,$$,"['Filipino', 'Ramen', 'Hawaiian']"
Cecconi’s Dumbo,3.5,732,$$$,['Italian']
JeJu Noodle Bar,4.5,600,$$,"['Korean', 'Noodles']"
Buvette,4.0,1758,$$,"['French', 'Wine Bars', 'Cocktail Bars']"
Karczma,4.5,587,$$,['Polish']
Maison Sun,5.0,3,,"['Japanese', 'French', 'Seafood']"
Alta,4.0,1911,$$$,"['Tapas Bars', 'Mediterranean', 'Spanish']"
Sakib,4.0,28,,['Mediterranean']
Katsu-Hama,4.0,1332,$$,['Japanese']
Carmine’s Italian Restaurant - Times Square,4.0,3778,$$,"['Italian', 'Caterers', 'Venues & Event Spaces']"
Very Fresh Noodles,4.5,1014,$$,"['Taiwanese', 'Chinese', 'Noodles']"
Cheeseboat,4.0,410,$$,['Georgian']
The Horny Ram,4.0,499,$$,"['American (New)', 'Venues & Event Spaces', 'Gastropubs']"
Eataly Flatiron,4.0,5638,$$,"['Italian', 'Grocery', 'Cafes']"
Jongro BBQ,4.0,1987,$$,"['Korean', 'Barbeque', 'Beer Bar']"
The Tang - Upper West Side,4.5,214,$$,"['Chinese', 'Noodles', 'Taiwanese']"
The Brooklyn Tree,4.5,162,$$,"['American (Traditional)', 'Comfort Food']"
RH Rooftop Restaurant New York,4.0,345,,"['American (Traditional)', 'Wine Bars']"
High Lúa Vietnamese Kitchen,4.5,150,$$,['Vietnamese']
Mission Ceviche,4.5,194,$$$,['Peruvian']
Guevara’s,4.5,31,,['Vegan']
Peaches Shrimp and Crab,4.0,324,$$,"['Seafood', 'American (New)', 'Southern']"
Red Hook Tavern,4.0,68,,"['American (Traditional)', 'Bars']"
Rasa,4.0,732,$$,"['Malaysian', 'Thai', 'Halal']"
The Alcove,5.0,894,$$,"['Gastropubs', 'Tapas Bars', 'Breakfast & Brunch']"
Let’s Meat,4.0,1084,$$$,"['Korean', 'Barbeque']"
Mercado Little Spain,3.5,361,$$,['Spanish']
Empanada Mama - Hell’s Kitchen,4.0,2499,$,"['Latin American', 'Food Delivery Services', 'Burgers']"
Anita Gelato,4.5,67,,"['Gelato', 'Waffles', 'Ice Cream & Frozen Yogurt']"
Otis,5.0,322,$$,"['American (New)', 'Cocktail Bars']"
Shuka,4.0,493,$$,"['Mediterranean', 'Cocktail Bars']"
Da Andrea,4.0,781,$$,['Tuscan']
Aunts et Uncles,5.0,12,,['Cafes']
Boqueria West 40th St,4.0,421,$$,"['Tapas/Small Plates', 'Spanish', 'Tapas Bars']"
Boqueria Soho,4.0,1025,$$,"['Spanish', 'Tapas Bars', 'Tapas/Small Plates']"
Boqueria,4.0,744,$$$,"['Tapas/Small Plates', 'Spanish', 'Tapas Bars']"
