business_name,rating,review_count,price_range,category
L’Antica Pizzeria Da Michele,4.5,726,$$,"['Pizza', 'Italian']"
いざかや おせん- IZAKAYA OSEN,4.5,870,$$,"['Sushi Bars', 'Izakaya', 'Seafood']"
Met Him At A Bar,4.5,183,$$,"['Italian', 'Cocktail Bars']"
The Ivy,3.5,2002,$$$,['American (New)']
Din Tai Fung,4.0,1637,$$,"['Taiwanese', 'Chinese', 'Desserts']"
Bang Bang Noodles,4.0,97,$$,"['Street Vendors', 'Noodles']"
Mike’s Deli,4.5,870,$$,"['Delis', 'Salad', 'Sandwiches']"
Roscoe’s House of Chicken & Waffles,4.0,3980,$$,"['Soul Food', 'Waffles', 'Chicken Wings']"
Chadolpoong,4.5,318,$$,"['Korean', 'Barbeque', 'Soup']"
Eggslut,4.0,5811,$,"['Breakfast & Brunch', 'Sandwiches']"
Sidewalk Grill,4.5,1008,$$,"['Mediterranean', 'Salad', 'Wraps']"
Sonoratown,4.5,1203,$,['Mexican']
Thanks Pizza,4.5,20,,['Pizza']
Egg Bomb,4.5,20,,['Korean']
Lady Byrd Cafe,4.0,328,,"['American (New)', 'Cafes']"
Home Restaurant - Los Feliz,4.0,3003,$$,"['Breakfast & Brunch', 'Coffee & Tea', 'American (New)']"
The Little Door,4.0,2113,$$$,"['French', 'Mediterranean', 'Modern European']"
Tsujita LA Artisan Noodle,4.0,4032,$$,"['Ramen', 'Noodles']"
LA Rose Cafe,4.5,1004,$$,['Filipino']
BCD Tofu House,4.0,4347,$$,['Korean']
Slurpin’ Ramen Bar - Los Angeles,4.5,4586,$$,"['Ramen', 'Noodles']"
Katsu Sando,4.0,100,,"['Sandwiches', 'Japanese Curry']"
Black Pearl,5.0,4,,"['Bubble Tea', 'Ice Cream & Frozen Yogurt', 'Korean']"
Pearl River Deli,5.0,115,$$,"['Cantonese', 'Comfort Food']"
Masa of Echo Park,4.0,4244,$$,"['Pizza', 'Sandwiches', 'Wraps']"
Joe’s Falafel,4.5,2086,$$,['Mediterranean']
Pearl River Deli,5.0,115,$$,"['Cantonese', 'Comfort Food']"
Masa of Echo Park,4.0,4244,$$,"['Pizza', 'Sandwiches', 'Wraps']"
Joe’s Falafel,4.5,2086,$$,['Mediterranean']
Dave’s Hot Chicken,4.0,307,$$,['Chicken Shop']
