business_name,rating,review_count,price_range,category
St. Anselm,4.5,458,$$,"['Steakhouses', 'American (New)', 'Breakfast & Brunch']"
DCG - District Chicken & Gyro,5.0,392,$$,"['Halal', 'Middle Eastern', 'Mediterranean']"
Rumi’s Kitchen,4.5,70,,['Persian/Iranian']
Byblos Deli,4.5,302,$,['Middle Eastern']
Bandit Taco,4.0,186,$,['Mexican']
Sweetpea’s Classic Soul Food,4.5,99,$$,['Southern']
KitchenCray - H Street,4.5,23,,"['Southern', 'Breakfast & Brunch']"
ANJU,4.0,161,$$,['Korean']
Falafel Inc,5.0,564,$,"['Falafel', 'Vegetarian']"
Mandu,4.0,789,$$,"['Korean', 'Bars']"
Toro Toro,4.0,833,$$,['Latin American']
The Smith,4.0,932,$$,"['American (New)', 'Breakfast & Brunch', 'Cocktail Bars']"
O-Ku Sushi DC,4.5,281,$$$,"['Sushi Bars', 'Japanese']"
Manna Dosirak,5.0,56,,['Korean']
CIRCA at Navy Yard,4.5,210,$$,"['American (Traditional)', 'American (New)']"
Bistrot Du Coin,4.0,1683,$$,"['French', 'Breakfast & Brunch', 'Desserts']"
Ivy City SmokeHouse,3.5,529,$$,"['Seafood', 'Smokehouse', 'Bars']"
Pow Pow,4.0,327,$$,"['Asian Fusion', 'Kosher']"
Menya Hosaki,4.5,58,,"['Ramen', 'Noodles']"
Bistro Aracosia,4.5,204,$$$,"['Afghan', 'Wine Bars']"
Fuku,2.0,18,,['Chicken Shop']
CIRCA at Chinatown,4.5,279,$$,['American (New)']
Mercy Me,4.5,69,,"['American (New)', 'Cafes', 'Bars']"
Purple Patch,4.5,835,$$,"['Filipino', 'American (Traditional)', 'Cocktail Bars']"
Brookland’s Finest,4.0,561,$$,"['American (New)', 'Bars']"
Agora,4.0,1208,$$,"['Mediterranean', 'Greek', 'Turkish']"
Bandoola Bowl,5.0,275,$$,"['Salad', 'Burmese']"
RASA,4.5,403,$$,['Indian']
Ted’s Bulletin,4.0,1703,$$,"['Breakfast & Brunch', 'American (New)', 'Comfort Food']"
Ted’s Bulletin,4.0,2094,$$,"['American (New)', 'Breakfast & Brunch', 'Comfort Food']"
Lei Musubi,5.0,4,,"['Hawaiian', 'Pop-Up Restaurants']"
Backyard Smokespot BBQ,4.5,82,,"['Smokehouse', 'Barbeque']"
Medium Rare,4.0,945,$$,"['Steakhouses', 'American (New)', 'Desserts']"
Ambar,4.5,1283,$$,['Modern European']
King Street Oyster Bar,4.5,130,$$,"['Seafood', 'Breakfast & Brunch', 'American (Traditional)']"
Emilie’s,4.0,122,,['American (New)']
Library Tavern,4.5,74,$$,"['Persian/Iranian', 'Middle Eastern', 'Hookah Bars']"
Surfside Taco Stand,4.0,505,$$,"['Tex-Mex', 'Caribbean']"
Cafe Fili,5.0,43,,"['Mediterranean', 'Tapas/Small Plates']"
Mama Ayesha’s,4.0,524,$$,"['Middle Eastern', 'Mediterranean']"
Queen’s English,4.0,106,,"['Hong Kong Style Cafe', 'Cocktail Bars']"
Rasika,4.5,3111,$$$,['Indian']
Copycat Co,4.5,619,$$,"['Cocktail Bars', 'Chinese']"
Boqueria Dupont,4.0,1239,$$$,"['Tapas Bars', 'Spanish']"
DC Noodles,4.0,640,$$,['Noodles']
Arepa Zone,4.0,197,$$,['Venezuelan']
Cafe U,5.0,2,,['Cafes']
China Boy,4.0,419,$,['Chinese']
Vintage78,4.0,55,,"['Persian/Iranian', 'American (New)']"
Taco City DC,4.5,174,$$,['Mexican']
Lapis,4.5,536,$$,"['Afghan', 'Cocktail Bars', 'Halal']"
HipCityVeg,4.5,941,$$,"['Vegetarian', 'Vegan']"
Ircia’s Kitchen Restaurant,4.5,6,,['Salvadoran']
Lucky Buns,4.0,379,$$,"['American (New)', 'Bars', 'Burgers']"
Jackie - American Bistro,4.0,26,,['American (New)']
Shaw’s Tavern,3.5,667,$$,['Gastropubs']
Filomena Ristorante,4.0,2630,$$$,"['Italian', 'Wine Bars']"
Charcoal Town Shawarma,4.0,230,$,"['Mediterranean', 'Middle Eastern', 'Kebab']"
Bub and Pop’s,4.5,875,$$,"['Sandwiches', 'American (Traditional)', 'Delis']"
"Joe’s Seafood, Prime Steak & Stone Crab",4.5,1456,$$$,"['Seafood', 'Steakhouses', 'Breakfast & Brunch']"
14th St Cafe Asian Bistro,4.0,211,$$,['Chinese']
GCDC Grilled Cheese Bar,3.5,556,$$,"['American (Traditional)', 'Comfort Food']"
Karibbean Kitchen,4.0,131,$$,['Caribbean']
Supra,4.0,450,$$,"['Bars', 'Georgian']"
Call Your Mother,4.0,32,,"['Delis', 'Bagels']"
Captain White’s Seafood,3.5,823,$$,"['Seafood Markets', 'Seafood']"
Little Sesame,4.5,222,$$,"['Middle Eastern', 'Mediterranean']"
Retrobottega,4.5,98,$$,"['Tapas/Small Plates', 'Italian']"
Kura Revolving Sushi Bar,5.0,18,,"['Sushi Bars', 'Conveyor Belt Sushi']"
Estuary,4.0,111,,['Seafood']
Glassey,4.5,32,,['Indian']
Grillfish DC,4.0,804,$$,['Seafood']
MANA,4.5,28,,"['Food Trucks', 'Hawaiian', 'Pop-Up Restaurants']"
Hazel,4.0,352,$$$,"['American (New)', 'Mediterranean', 'Turkish']"
BlackSalt,4.0,933,$$$,"['Seafood', 'American (New)']"
Milk & Honey,3.5,104,$$,"['American (New)', 'Bars']"
Shawarma Hut,4.0,31,,"['Mediterranean', 'Halal', 'Pakistani']"
JINYA Ramen Bar,4.0,815,$$,"['Ramen', 'Izakaya']"
District Rico,4.0,267,$$,['Peruvian']
Iron Gate,4.0,621,$$$,"['American (New)', 'Greek']"
Butter Chicken Company 2,4.5,49,,['Indian']
Grazie Grazie,4.5,166,$$,"['Salad', 'Sandwiches']"
Seven Reasons,4.5,217,$$$,"['Latin American', 'Cocktail Bars']"
Timber Pizza Company,4.5,459,$$,['Pizza']
Creole on 14th,3.5,59,,['Cajun/Creole']
Good Stuff Eatery,3.5,1899,$$,['Burgers']
Nando’s PERi-PERi,4.0,168,$$,"['Chicken Shop', 'Portuguese', 'South African']"
